4.7,0.8,1.5,7.9
5.4,0.77,1.6,7.2
5.2,0.8,2,6.9
4.9,0.81,1.9,6.9
4.4,0.86,2.2,6.9
4,0.89,2.3,7.2
3.5,0.93,2.4,7.4
3.1,0.94,2.2,7.6
2.4,0.93,1.3,8.4
1.7,0.93,0.6,9
0.9,0.94,0,9.5
0.6,0.94,-0.2,10.1
0.5,0.95,-0.2,9.9
0.6,0.95,-0.1,10.2
0.6,0.93,-0.4,10.8
0.5,0.89,-1.1,11
-0.3,0.77,-3.8,12.2
-1.4,0.7,-6.1,13.2
-1.8,0.73,-6,14.3
-2.1,0.73,-6.2,15.3
-2,0.68,-7.1,16
-1.3,0.65,-7,16.6
-1.3,0.59,-8.2,16.7
-0.6,0.57,-8,16.9
-0.4,0.53,-8.8,17.2
-0.3,0.49,-9.7,17.9
-0.6,0.46,-10.8,18.5
-1.7,0.51,-10.5,18.9
-3.1,0.57,-10.4,19.5
-4.1,0.61,-10.5,20.5
-5.3,0.67,-10.4,20.8
-6.2,0.65,-11.7,21.6
-6.8,0.71,-11.1,21.8
-6.6,0.76,-10.1,22.3
-6.6,0.78,-9.8,22.5
-7.1,0.81,-9.8,22.6
-7.6,0.83,-9.9,22.5
-8,0.84,-10.2,22.5
-8.2,0.86,-10.1,21.8
-8.6,0.88,-10.2,21.7
-8.9,0.89,-10.3,21.5
-8.8,0.9,-10.1,21.7
-8.8,0.9,-10.1,22.3
-7.5,0.88,-9.1,22.9
-5.1,0.77,-8.5,22.4
-3.1,0.66,-8.5,22.5
-1.4,0.54,-9.5,21.6
0,0.49,-9.4,20.4
0.8,0.47,-9.2,18.8
1.2,0.42,-10.3,18.4
0.4,0.36,-12.9,18.4
0.7,0.37,-12.3,18.5
-0.6,0.47,-10.5,18.9
-1.7,0.42,-12.9,19.5
-2.6,0.43,-13.4,19.5
-2.9,0.49,-12.1,19.2
-3.4,0.48,-12.8,19
-4.3,0.53,-12.4,19.2
-5.2,0.56,-12.6,18.8
-5.4,0.59,-12.1,19.4
-5.4,0.6,-11.9,19.7
-6,0.67,-11.1,19.3
-6.5,0.71,-10.8,19.3
-6.2,0.71,-10.6,19.1
-5.6,0.72,-9.8,18.9
-5.2,0.69,-10,19.1
-4.6,0.67,-9.8,19.5
-3.6,0.64,-9.4,20.1
-1.9,0.69,-6.8,21
0.3,0.71,-4.3,20.2
1.7,0.47,-8.4,19.7
3,0.31,-12.5,19.3
3.1,0.27,-14.1,19.1
3.2,0.24,-15.4,19.4
3,0.28,-13.7,20.1
1.6,0.28,-14.9,20.8
-0.1,0.33,-14.4,21.4
-1.3,0.37,-14.1,21.8
-2.4,0.43,-13.3,22.2
-3.4,0.47,-13.1,22.5
-4.3,0.5,-13.1,22.8
-4.6,0.55,-12.2,22.8
-5,0.57,-12.2,22.8
-5.8,0.64,-11.5,22.7
-5.9,0.64,-11.6,23
-6.8,0.66,-12,23.3
-7.3,0.61,-13.5,23.3
-7.9,0.61,-14.1,23.5
-8,0.59,-14.6,23.8
-8.3,0.56,-15.5,24.4
-8.7,0.72,-12.8,25
-5.8,0.58,-12.7,25.3
-3.2,0.43,-14,25.2
-1.3,0.32,-15.9,24.5
1.1,0.27,-15.8,23.4
3.1,0.25,-15,22.4
4.1,0.23,-15.2,21.3
5.3,0.21,-15.3,20.6
5.5,0.24,-13.5,20.2
4.3,0.29,-12.2,19.8
2.7,0.4,-9.5,19.9
1.3,0.47,-8.7,20.3
0.4,0.58,-6.9,20.6
-0.7,0.63,-6.8,20.7
-0.8,0.68,-5.9,20.8
-0.8,0.68,-5.9,21
-0.4,0.72,-4.8,20.9
-0.5,0.72,-4.9,20.7
-1.1,0.75,-4.9,20.5
-1.7,0.78,-5,20
-1.9,0.79,-5,20.3
-1.6,0.78,-4.9,20.4
-2,0.79,-5.1,20.7
-2.9,0.83,-5.3,20.6
-3,0.85,-5.1,20.8
-1.3,0.82,-3.9,21
1.2,0.68,-4,20.7
3.8,0.59,-3.4,20.4
5.2,0.52,-3.8,19.3
6.5,0.43,-5.2,18.1
7.1,0.42,-4.9,17.2
8.3,0.4,-4.5,16.7
7.8,0.42,-4.3,16.6
6.8,0.47,-3.7,16.5
5.6,0.51,-3.7,16.7
4.3,0.56,-3.7,16.9
3.2,0.59,-4,17.3
2.9,0.61,-3.8,17.4
1.4,0.67,-4,17.4
0.6,0.72,-3.8,17
-0.4,0.76,-4.1,16.9
-1.2,0.78,-4.5,16.7
-1.7,0.82,-4.3,16.7
-1.8,0.84,-4.1,16.5
-2.3,0.86,-4.3,16.2
-2.7,0.87,-4.5,16
-3.2,0.87,-5,16
-3.1,0.89,-4.6,16.2
-3,0.89,-4.5,16.4
-1.7,0.86,-3.7,16.1
0.3,0.82,-2.4,15.4
3.5,0.67,-2,14.3
5.8,0.55,-2.5,13.2
7.5,0.46,-3.3,11.8
7.9,0.38,-5.5,10.8
8,0.41,-4.4,10.2
7.4,0.44,-4,10
6.9,0.49,-3,9.4
6.3,0.52,-2.8,9.8
5.7,0.52,-3.4,10.1
5.4,0.54,-3.1,10
5.1,0.53,-3.7,9.7
4.8,0.56,-3.2,9.4
